filename,chromagram,key,coded_key
1009960.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
4702235.LOFI,[255 255 255 ... 255 255 255],D major,10
4827420.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
3151513.LOFI,[255 255 255 ... 255 255 255],D minor,11
4842349.LOFI,[255 255 255 ... 255 255 255],G minor,21
1103512.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
4846004.LOFI,[255 255 255 ... 255 255 255],B minor,5
2666332.LOFI,[255 255 255 ... 255 255 255],A major,0
4371042.LOFI,[255 255 255 ... 255 255 255],D minor,11
3003894.LOFI,[255 255 255 ... 255 255 255],C minor,9
3954078.LOFI,[255 255 255 ... 255 255 255],A minor,1
1771576.LOFI,[255 255 255 ... 255 255 255],C minor,9
1681085.LOFI,[255 255 255 ... 255 255 255],F major,19
3829561.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
5304804.LOFI,[255 255 255 ... 255 255 255],F minor,18
5039015.LOFI,[255 255 255 ... 255 255 255],Db minor,13
3319290.LOFI,[255 255 255 ... 255 255 255],F major,19
4735775.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
2725290.LOFI,[255 255 255 ... 255 255 255],G minor,21
3443052.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
5070608.LOFI,[255 255 255 ... 255 255 255],F minor,18
4758620.LOFI,[255 255 255 ... 255 255 255],F minor,18
3076768.LOFI,[255 255 255 ... 255 255 255],A major,0
4965571.LOFI,[255 255 255 ... 255 255 255],G minor,21
3590070.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
4953926.LOFI,[255 255 255 ... 255 255 255],C minor,9
582991.LOFI,[255 255 255 ... 255 255 255],G minor,21
3695262.LOFI,[255 255 255 ... 255 255 255],F minor,18
1850984.LOFI,[255 255 255 ... 255 255 255],A minor,1
1614715.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
3873733.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
2725289.LOFI,[255 255 255 ... 255 255 255],E minor,14
3986537.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
2075331.LOFI,[255 255 255 ... 255 255 255],G minor,21
3935095.LOFI,[255 255 255 ... 255 255 255],E minor,14
4284574.LOFI,[255 255 255 ... 255 255 255],G major,20
4920936.LOFI,[255 255 255 ... 255 255 255],Db minor,13
3542099.LOFI,[255 255 255 ... 255 255 255],F minor,18
2081732.LOFI,[255 255 255 ... 255 255 255],E minor,14
2741219.LOFI,[255 255 255 ... 255 255 255],A minor,1
4048367.LOFI,[255 255 255 ... 255 255 255],B minor,5
4327665.LOFI,[255 255 255 ... 255 255 255],E minor,14
3319589.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
3706570.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
2680040.LOFI,[255 255 255 ... 255 255 255],A minor,1
511348.LOFI,[255 255 255 ... 255 255 255],E minor,14
3568465.LOFI,[255 255 255 ... 255 255 255],A minor,1
1574723.LOFI,[255 255 255 ... 255 255 255],D minor,11
4364668.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
4802314.LOFI,[255 255 255 ... 255 255 255],E minor,14
4873286.LOFI,[255 255 255 ... 255 255 255],Gb major,22
4002242.LOFI,[255 255 255 ... 255 255 255],A minor,1
3963180.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
5039016.LOFI,[255 255 255 ... 255 255 255],G minor,21
903963.LOFI,[255 255 255 ... 255 255 255],F major,19
4452003.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
5171396.LOFI,[255 255 255 ... 255 255 255],Ab major,2
678406.LOFI,[255 255 255 ... 255 255 255],E minor,14
3479363.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
3687442.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
2725286.LOFI,[255 255 255 ... 255 255 255],G minor,21
3345479.LOFI,[255 255 255 ... 255 255 255],D minor,11
2046342.LOFI,[255 255 255 ... 255 255 255],E minor,14
1034795.LOFI,[255 255 255 ... 255 255 255],B minor,5
5103693.LOFI,[255 255 255 ... 255 255 255],F major,19
3833050.LOFI,[255 255 255 ... 255 255 255],Db major,12
4207145.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
781373.LOFI,[255 255 255 ... 255 255 255],E major,15
1856889.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
682724.LOFI,[255 255 255 ... 255 255 255],C major,8
2673157.LOFI,[255 255 255 ... 255 255 255],B minor,5
4945105.LOFI,[255 255 255 ... 255 255 255],F minor,18
3980001.LOFI,[255 255 255 ... 255 255 255],D minor,11
1209745.LOFI,[255 255 255 ... 255 255 255],Bb major,6
3681890.LOFI,[255 255 255 ... 255 255 255],C major,8
1681074.LOFI,[255 255 255 ... 255 255 255],F minor,18
3516363.LOFI,[255 255 255 ... 255 255 255],G minor,21
2048054.LOFI,[255 255 255 ... 255 255 255],C minor,9
3478184.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
3535112.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
1922470.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
341832.LOFI,[255 255 255 ... 255 255 255],G major,20
3005030.LOFI,[255 255 255 ... 255 255 255],E minor,14
3095708.LOFI,[255 255 255 ... 255 255 255],G minor,21
1056896.LOFI,[255 255 255 ... 255 255 255],A minor,1
101069.LOFI,[255 255 255 ... 255 255 255],E minor,14
839886.LOFI,[255 255 255 ... 255 255 255],D minor,11
2676506.LOFI,[255 255 255 ... 255 255 255],C minor,9
3518921.LOFI,[255 255 255 ... 255 255 255],B minor,5
1474122.LOFI,[255 255 255 ... 255 255 255],Ab major,2
4997222.LOFI,[255 255 255 ... 255 255 255],Db minor,13
1695408.LOFI,[255 255 255 ... 255 255 255],A minor,1
1678455.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
4066359.LOFI,[255 255 255 ... 255 255 255],Eb major,16
3524408.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
3334441.LOFI,[255 255 255 ... 255 255 255],G minor,21
3302298.LOFI,[255 255 255 ... 255 255 255],C minor,9
4877006.LOFI,[255 255 255 ... 255 255 255],F minor,18
3572701.LOFI,[255 255 255 ... 255 255 255],F minor,18
4361260.LOFI,[255 255 255 ... 255 255 255],C minor,9
3533310.LOFI,[255 255 255 ... 255 255 255],B major,4
1486770.LOFI,[255 255 255 ... 255 255 255],A minor,1
3958396.LOFI,[255 255 255 ... 255 255 255],A major,0
3349967.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
4206954.LOFI,[255 255 255 ... 255 255 255],D minor,11
3979989.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
4359736.LOFI,[255 255 255 ... 255 255 255],F minor,18
3133794.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
3740062.LOFI,[255 255 255 ... 255 255 255],F minor,18
2014445.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
3480108.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
5009084.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
5740146.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
1389887.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
3270413.LOFI,[255 255 255 ... 255 255 255],A minor,1
945256.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
2006103.LOFI,[255 255 255 ... 255 255 255],Db minor,13
1795653.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
3434746.LOFI,[255 255 255 ... 255 255 255],A minor,1
4834156.LOFI,[255 255 255 ... 255 255 255],D minor,11
1356281.LOFI,[255 255 255 ... 255 255 255],Eb major,16
1353830.LOFI,[255 255 255 ... 255 255 255],D minor,11
3250632.LOFI,[255 255 255 ... 255 255 255],F minor,18
4981541.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
3533740.LOFI,[255 255 255 ... 255 255 255],B minor,5
3415421.LOFI,[255 255 255 ... 255 255 255],E minor,14
3317232.LOFI,[255 255 255 ... 255 255 255],C minor,9
4969568.LOFI,[255 255 255 ... 255 255 255],B minor,5
1074548.LOFI,[255 255 255 ... 255 255 255],A minor,1
781995.LOFI,[255 255 255 ... 255 255 255],C major,8
774875.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
5085261.LOFI,[255 255 255 ... 255 255 255],A major,0
2052966.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
671546.LOFI,[255 255 255 ... 255 255 255],A minor,1
4950614.LOFI,[255 255 255 ... 255 255 255],E minor,14
3967462.LOFI,[255 255 255 ... 255 255 255],E minor,14
3313145.LOFI,[255 255 255 ... 255 255 255],E major,15
2018991.LOFI,[255 255 255 ... 255 255 255],C minor,9
4666231.LOFI,[255 255 255 ... 255 255 255],F minor,18
1808022.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
4453556.LOFI,[255 255 255 ... 255 255 255],G minor,21
1193612.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
3574815.LOFI,[255 255 255 ... 255 255 255],A minor,1
3450181.LOFI,[255 255 255 ... 255 255 255],C minor,9
3334471.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
5048263.LOFI,[255 255 255 ... 255 255 255],G minor,21
3033991.LOFI,[255 255 255 ... 255 255 255],C minor,9
2436276.LOFI,[255 255 255 ... 255 255 255],A minor,1
2673251.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
4483817.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
4846007.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
3313070.LOFI,[255 255 255 ... 255 255 255],B minor,5
1939732.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
4900482.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
1986370.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
423054.LOFI,[255 255 255 ... 255 255 255],D minor,11
3275147.LOFI,[255 255 255 ... 255 255 255],F minor,18
1984204.LOFI,[255 255 255 ... 255 255 255],F minor,18
3523229.LOFI,[255 255 255 ... 255 255 255],A minor,1
3648814.LOFI,[255 255 255 ... 255 255 255],B minor,5
4957129.LOFI,[255 255 255 ... 255 255 255],D minor,11
3428673.LOFI,[255 255 255 ... 255 255 255],C minor,9
4440292.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
5036476.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
1164898.LOFI,[255 255 255 ... 255 255 255],C major,8
1652412.LOFI,[255 255 255 ... 255 255 255],D minor,11
4927725.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
4485436.LOFI,[255 255 255 ... 255 255 255],F minor,18
3356535.LOFI,[255 255 255 ... 255 255 255],F minor,18
3069201.LOFI,[255 255 255 ... 255 255 255],C major,8
4325646.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
890568.LOFI,[255 255 255 ... 255 255 255],E minor,14
4424988.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
2031094.LOFI,[255 255 255 ... 255 255 255],A minor,1
3415063.LOFI,[255 255 255 ... 255 255 255],G minor,21
3150078.LOFI,[255 255 255 ... 255 255 255],D major,10
1234749.LOFI,[255 255 255 ... 255 255 255],Bb major,6
3228698.LOFI,[255 255 255 ... 255 255 255],E minor,14
1763782.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
3602280.LOFI,[255 255 255 ... 255 255 255],G minor,21
814505.LOFI,[255 255 255 ... 255 255 255],A major,0
4983728.LOFI,[255 255 255 ... 255 255 255],G minor,21
1796518.LOFI,[255 255 255 ... 255 255 255],Db minor,13
1803909.LOFI,[255 255 255 ... 255 255 255],B minor,5
3482733.LOFI,[255 255 255 ... 255 255 255],G minor,21
4018247.LOFI,[255 255 255 ... 255 255 255],G minor,21
2666528.LOFI,[255 255 255 ... 255 255 255],Db minor,13
4162405.LOFI,[255 255 255 ... 255 255 255],A minor,1
3178155.LOFI,[255 255 255 ... 255 255 255],A minor,1
3858331.LOFI,[255 255 255 ... 255 255 255],C minor,9
4173942.LOFI,[255 255 255 ... 255 255 255],C major,8
3949799.LOFI,[255 255 255 ... 255 255 255],A major,0
3093661.LOFI,[255 255 255 ... 255 255 255],G minor,21
5079918.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
1837440.LOFI,[255 255 255 ... 255 255 255],B minor,5
3836490.LOFI,[255 255 255 ... 255 255 255],F minor,18
190477.LOFI,[255 255 255 ... 255 255 255],D minor,11
4981539.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
3070298.LOFI,[255 255 255 ... 255 255 255],D minor,11
2996293.LOFI,[255 255 255 ... 255 255 255],D major,10
1814469.LOFI,[255 255 255 ... 255 255 255],F minor,18
4926785.LOFI,[255 255 255 ... 255 255 255],G minor,21
2025670.LOFI,[255 255 255 ... 255 255 255],C minor,9
4615188.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
1442809.LOFI,[255 255 255 ... 255 255 255],Db minor,13
3995054.LOFI,[255 255 255 ... 255 255 255],C major,8
5013063.LOFI,[255 255 255 ... 255 255 255],E minor,14
4566667.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
5308082.LOFI,[255 255 255 ... 255 255 255],Db minor,13
4898445.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
435443.LOFI,[255 255 255 ... 255 255 255],E minor,14
3625299.LOFI,[255 255 255 ... 255 255 255],G minor,21
3361547.LOFI,[255 255 255 ... 255 255 255],G minor,21
376240.LOFI,[255 255 255 ... 255 255 255],F minor,18
4366506.LOFI,[255 255 255 ... 255 255 255],Eb minor,17
4935536.LOFI,[255 255 255 ... 255 255 255],F minor,18
3914630.LOFI,[255 255 255 ... 255 255 255],Gb major,22
1092676.LOFI,[255 255 255 ... 255 255 255],F minor,18
4857650.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
4992190.LOFI,[255 255 255 ... 255 255 255],Db minor,13
3533956.LOFI,[255 255 255 ... 255 255 255],G minor,21
4125044.LOFI,[255 255 255 ... 255 255 255],F minor,18
1776378.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
3971416.LOFI,[255 255 255 ... 255 255 255],D minor,11
3589347.LOFI,[255 255 255 ... 255 255 255],C minor,9
796860.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
4917941.LOFI,[255 255 255 ... 255 255 255],F minor,18
3638836.LOFI,[255 255 255 ... 255 255 255],F major,19
3324024.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
398124.LOFI,[255 255 255 ... 255 255 255],D major,10
4186982.LOFI,[255 255 255 ... 255 255 255],G minor,21
896478.LOFI,[255 255 255 ... 255 255 255],B minor,5
2069519.LOFI,[255 255 255 ... 255 255 255],F minor,18
3701975.LOFI,[255 255 255 ... 255 255 255],F major,19
5030517.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
4927724.LOFI,[255 255 255 ... 255 255 255],Ab major,2
1626779.LOFI,[255 255 255 ... 255 255 255],Bb minor,7
4104235.LOFI,[255 255 255 ... 255 255 255],F minor,18
4573655.LOFI,[255 255 255 ... 255 255 255],E minor,14
3958397.LOFI,[255 255 255 ... 255 255 255],A minor,1
4014747.LOFI,[255 255 255 ... 255 255 255],C minor,9
571009.LOFI,[255 255 255 ... 255 255 255],F minor,18
3232851.LOFI,[255 255 255 ... 255 255 255],A minor,1
3519499.LOFI,[255 255 255 ... 255 255 255],G minor,21
1785226.LOFI,[255 255 255 ... 255 255 255],Gb minor,23
3363196.LOFI,[255 255 255 ... 255 255 255],E minor,14
3792959.LOFI,[255 255 255 ... 255 255 255],E minor,14
1669939.LOFI,[255 255 255 ... 255 255 255],E major,15
3424038.LOFI,[255 255 255 ... 255 255 255],Db minor,13
1043194.LOFI,[255 255 255 ... 255 255 255],Db minor,13
3368117.LOFI,[255 255 255 ... 255 255 255],E minor,14
1757071.LOFI,[255 255 255 ... 255 255 255],E minor,14
3661550.LOFI,[255 255 255 ... 255 255 255],A minor,1
3596904.LOFI,[255 255 255 ... 255 255 255],A major,0
472626.LOFI,[255 255 255 ... 255 255 255],G minor,21
4970082.LOFI,[255 255 255 ... 255 255 255],F minor,18
3426022.LOFI,[255 255 255 ... 255 255 255],D minor,11
1822087.LOFI,[255 255 255 ... 255 255 255],B minor,5
973819.LOFI,[255 255 255 ... 255 255 255],F minor,18
3363602.LOFI,[255 255 255 ... 255 255 255],B minor,5
3568459.LOFI,[255 255 255 ... 255 255 255],G major,20
1960032.LOFI,[255 255 255 ... 255 255 255],C minor,9
3233653.LOFI,[255 255 255 ... 255 255 255],F major,19
853834.LOFI,[255 255 255 ... 255 255 255],E major,15
3284384.LOFI,[255 255 255 ... 255 255 255],A minor,1
3668409.LOFI,[255 255 255 ... 255 255 255],E minor,14
3228649.LOFI,[255 255 255 ... 255 255 255],Ab minor,3
1234669.LOFI,[255 255 255 ... 255 255 255],G minor,21
4277742.LOFI,[255 255 255 ... 255 255 255],F minor,18
4505122.LOFI,[255 255 255 ... 255 255 255],Eb major,16
3572702.LOFI,[255 255 255 ... 255 255 255],E minor,14
774874.LOFI,[255 255 255 ... 255 255 255],B minor,5
