filename,chromagram,key,coded_key
1009960.LOFI,[2.3530319  0.20950337 0.89890015 ... 0.00521319 0.00322074 0.19178702],Eb minor,17
4702235.LOFI,[1.3828083  2.1387641  1.7299632  ... 0.02596175 0.38454917 0.11089426],D major,10
4827420.LOFI,[0.68310666 6.180545   4.4728584  ... 0.07169337 0.60555774 0.153814  ],Gb minor,23
3151513.LOFI,[4.3891525  4.249622   0.22759384 ... 0.17295179 0.00917707 0.20770359],D minor,11
4842349.LOFI,[0.5288239  2.2011137  0.4373782  ... 0.12612818 0.3438584  0.29236922],G minor,21
1103512.LOFI,[0.20001231 0.21521404 0.2531066  ... 0.04945911 0.07403353 0.04919856],Bb minor,7
4846004.LOFI,[4.3140354  0.6318219  3.186654   ... 0.07833475 0.03923263 0.12370975],B minor,5
2666332.LOFI,[4.71415    1.1218097  2.679898   ... 0.04864131 0.02523684 0.09586435],A major,0
4371042.LOFI,[0.02808667 0.02684863 0.01792669 ... 0.02298716 0.00265357 0.00463239],D minor,11
3003894.LOFI,[0.15366757 2.1943853  2.7588954  ... 0.04844755 0.08340952 0.05507728],C minor,9
3954078.LOFI,[0.27449274 1.0648726  3.386003   ... 0.15031986 0.00760675 0.5910061 ],A minor,1
1771576.LOFI,[0.0949227  0.04661701 0.02601082 ... 0.0418296  0.0729524  0.0910831 ],C minor,9
1681085.LOFI,"[4.3448167e+00 2.2278652e+00 1.5636784e+00 ... 7.3037967e-02 2.2558637e-03
 2.8120555e-02]",F major,19
3829561.LOFI,[7.769284   4.3972096  4.0468097  ... 0.06156791 0.06102896 0.11625718],Bb minor,7
5304804.LOFI,[0.00335686 0.01380754 0.00191473 ... 0.56512713 0.45815653 0.0091893 ],F minor,18
5039015.LOFI,[0.31373182 0.42960218 0.5990058  ... 0.3673965  0.17174952 0.20590778],Db minor,13
3319290.LOFI,"[1.1050001e+00 4.1781397e+00 3.5464194e+00 ... 8.2628485e-03 9.3526486e-03
 1.9078435e-03]",F major,19
4735775.LOFI,[0.13079038 0.78836197 2.5382986  ... 0.05446785 0.00311972 0.04574306],Eb minor,17
2725290.LOFI,[15.8694515 10.570406   3.1545026 ...  0.2830421  0.2296641  0.2514623],G minor,21
3443052.LOFI,"[11.997932    8.825478    7.6072397  ...  0.02976591  0.09130605
  0.3068939 ]",Bb minor,7
5070608.LOFI,[0.03904949 0.07826094 0.05154472 ... 0.15649123 0.16517507 0.0760702 ],F minor,18
4758620.LOFI,[0.39337736 1.1582956  1.8955986  ... 0.39147434 0.4323152  0.15387121],F minor,18
3076768.LOFI,[0.08750246 0.06496289 0.1229222  ... 0.061653   0.04275544 0.00747987],A major,0
4965571.LOFI,[0.49858567 0.7652947  1.238657   ... 0.15912434 0.21932843 0.6008659 ],G minor,21
3590070.LOFI,"[3.5127914e+00 4.6043215e+00 6.7637670e-01 ... 1.4987850e-02 3.6897603e-03
 6.3065061e-04]",Gb minor,23
4953926.LOFI,"[ 1.9726273  11.78648    15.357974   ...  0.08724017  0.11325693
  0.40977454]",C minor,9
582991.LOFI,"[10.895598   10.47189     6.2797837  ...  0.05228946  0.10497227
  0.22327843]",G minor,21
3695262.LOFI,"[5.2727151e+00 5.1941891e+00 2.4466677e+00 ... 2.4772417e-03 3.3429952e-03
 1.7780074e-01]",F minor,18
1850984.LOFI,[5.3000917  1.3160403  7.8158736  ... 0.01231558 0.06197288 0.07354534],A minor,1
1614715.LOFI,[0.36407757 0.28802073 0.01776904 ... 0.13888554 0.12994313 0.35015273],Gb minor,23
